from,to
N07 S17 G S31 S28,N07 S17 G S31 S28 G N11
N07 S17 G S32 S28,N07 S17 G S32 S28 G S09
N07 S17 G S33 S28,N07 S17 G S33 S28 G N13
N07 S17 G S34 S28,N07 S17 G S34 S28 G S25
N07 S17 G S35 S29,N07 S17 G S35 S29 G S02
N07 S17 G S36 S13,N07 S17 G S36 S13 G S32
N07 S17 G S37 N14,N07 S17 G S37 N14 G S30
N07 S17 G S38 N14,N07 S17 G S38 N14 G S30
N07 S17 G S39 N14,N07 S17 G S39 N14 G S32
N07 S17 G S40 N14,N07 S17 G S40 N14 G S32
N07 S18 G N01 S38,N07 S18 G N01 S38 G S05
N07 S18 G N02 N27,N07 S18 G N02 N27 G S20
N07 S18 G N03 N12,N07 S18 G N03 N12 G S20
N07 S18 G N04 N12,N07 S18 G N04 N12 G S40
N07 S18 G N05 N12,N07 S18 G N05 N12 G S22
N07 S18 G N06 S31,N07 S18 G N06 S31 G S02
N07 S18 G N08 N15,N07 S18 G N08 N15 G S21
N07 S18 G N09 N15,N07 S18 G N09 N15 G S09
N07 S18 G N10 N15,N07 S18 G N10 N15 G N27
N07 S18 G N11 N15,N07 S18 G N11 N15 G S03
N07 S18 G N12 N15,N07 S18 G N12 N15 G S03
N07 S18 G N13 N12,N07 S18 G N13 N12 G S40
N07 S18 G N14 S38,N07 S18 G N14 S38 G S35
N07 S18 G N15 N30,N07 S18 G N15 N30 G N13
N07 S18 G N16 N29,N07 S18 G N16 N29 G S20
N07 S18 G N17 N14,N07 S18 G N17 N14 G S22
N07 S18 G N18 S29,N07 S18 G N18 S29 G S10
N07 S18 G N19 N14,N07 S18 G N19 N14 G S32
N07 S18 G N20 S31,N07 S18 G N20 S31 G S10
N07 S18 G N21 S33,N07 S18 G N21 S33 G S05
N07 S18 G N22 S28,N07 S18 G N22 S28 G S16
N07 S18 G N23 S28,N07 S18 G N23 S28 G S23
N07 S18 G N24 N32,N07 S18 G N24 N32 G N03
N07 S18 G N25 N32,N07 S18 G N25 N32 G N13
N07 S18 G N26 N14,N07 S18 G N26 N14 G S23
N07 S18 G N27 S16,N07 S18 G N27 S16 G N33
N07 S18 G N28 S16,N07 S18 G N28 S16 G S27
N07 S18 G N29 N15,N07 S18 G N29 N15 G S32
N07 S18 G N30 S16,N07 S18 G N30 S16 G N36
N07 S18 G N31 S16,N07 S18 G N31 S16 G N35
N07 S18 G N32 N33,N07 S18 G N32 N33 G S14
N07 S18 G N33 S40,N07 S18 G N33 S40 G N27
N07 S18 G N34 S40,N07 S18 G N34 S40 G N13
N07 S18 G N35 S29,N07 S18 G N35 S29 G S09
N07 S18 G N36 S29,N07 S18 G N36 S29 G S09
N07 S18 G N37 S29,N07 S18 G N37 S29 G S09
N07 S18 G N38 S31,N07 S18 G N38 S31 G S03
N07 S18 G N39 S31,N07 S18 G N39 S31 G S03
N07 S18 G N40 S31,N07 S18 G N40 S31 G S05
N07 S18 G S01 S26,N07 S18 G S01 S26 G N15
N07 S18 G S02 S27,N07 S18 G S02 S27 G N14
N07 S18 G S03 S28,N07 S18 G S03 S28 G N11
N07 S18 G S04 S28,N07 S18 G S04 S28 G N13
N07 S18 G S05 S28,N07 S18 G S05 S28 G S09
N07 S18 G S06 N33,N07 S18 G S06 N33 G S25
N07 S18 G S07 S25,N07 S18 G S07 S25 G N38
N07 S18 G S08 S24,N07 S18 G S08 S24 G S27
N07 S18 G S09 S25,N07 S18 G S09 S25 G S29
N07 S18 G S10 S27,N07 S18 G S10 S27 G N12
N07 S18 G S11 S16,N07 S18 G S11 S16 G S38
N07 S18 G S12 S16,N07 S18 G S12 S16 G S38
N07 S18 G S13 S28,N07 S18 G S13 S28 G N27
N07 S18 G S14 S28,N07 S18 G S14 S28 G N31
N07 S18 G S15 S29,N07 S18 G S15 S29 G N11
N07 S18 G S16 S28,N07 S18 G S16 S28 G N13
N07 S18 G S17 N14,N07 S18 G S17 N14 G S24
N07 S18 G S18+ S16,N07 S18 G S18+ S16 G N36
N07 S18 G S19 N14,N07 S18 G S19 N14 G S23
N07 S18 G S20 S28,N07 S18 G S20 S28 G S24
N07 S18 G S21 N33,N07 S18 G S21 N33 G S29
N07 S18 G S22 N33,N07 S18 G S22 N33 G S33
N07 S18 G S23 S24,N07 S18 G S23 S24 G S14
N07 S18 G S24 S20,N07 S18 G S24 S20 G N27
N07 S18 G S25 S05,N07 S18 G S25 S05 G S31
N07 S18 G S26 S13,N07 S18 G S26 S13 G S20
N07 S18 G S27 S03,N07 S18 G S27 S03 G S33
N07 S18 G S28 S29,N07 S18 G S28 S29 G S02
N07 S18 G S29 S16,N07 S18 G S29 S16 G S36
N07 S18 G S30 S31,N07 S18 G S30 S31 G S03
N07 S18 G S31 S28,N07 S18 G S31 S28 G S38
N07 S18 G S32 S28,N07 S18 G S32 S28 G S40
N07 S18 G S33 S29,N07 S18 G S33 S29 G N13
N07 S18 G S34 N30,N07 S18 G S34 N30 G S25
N07 S18 G S35 S28,N07 S18 G S35 S28 G N11
N07 S18 G S36 N14,N07 S18 G S36 N14 G S30
N07 S18 G S37 N14,N07 S18 G S37 N14 G S23
N07 S18 G S38 N15,N07 S18 G S38 N15 G S23
N07 S18 G S39 N15,N07 S18 G S39 N15 G S32
N07 S18 G S40 N15,N07 S18 G S40 N15 G S32
N07 S19 G N01 N37,N07 S19 G N01 N37 G N26
N07 S19 G N02 N11,N07 S19 G N02 N11 G S39
N07 S19 G N03 N12,N07 S19 G N03 N12 G S06
N07 S19 G N04 N37,N07 S19 G N04 N37 G N11
N07 S19 G N05 N12,N07 S19 G N05 N12 G S06
N07 S19 G N06 N37,N07 S19 G N06 N37 G N26
N07 S19 G N08 N14,N07 S19 G N08 N14 G S06
N07 S19 G N09 S01,N07 S19 G N09 S01 G S29
N07 S19 G N10 N15,N07 S19 G N10 N15 G S37
N07 S19 G N11 N15,N07 S19 G N11 N15 G S37
N07 S19 G N12 N15,N07 S19 G N12 N15 G S01
N07 S19 G N13 N12,N07 S19 G N13 N12 G S40
N07 S19 G N14 S39,N07 S19 G N14 S39 G N26
N07 S19 G N15 S39,N07 S19 G N15 S39 G N11
N07 S19 G N16 N30,N07 S19 G N16 N30 G N11
N07 S19 G N17 N14,N07 S19 G N17 N14 G S23
N07 S19 G N18 N14,N07 S19 G N18 N14 G S24
N07 S19 G N19 N14,N07 S19 G N19 N14 G S23
N07 S19 G N20 S14,N07 S19 G N20 S14 G S08
N07 S19 G N21 S17,N07 S19 G N21 S17 G S01
N07 S19 G N22 S28,N07 S19 G N22 S28 G S17
N07 S19 G N23 S06,N07 S19 G N23 S06 G N12
N07 S19 G N24 S24,N07 S19 G N24 S24 G N18
N07 S19 G N25 S24,N07 S19 G N25 S24 G N18
N07 S19 G N26 S10,N07 S19 G N26 S10 G S30
N07 S19 G N27 S04,N07 S19 G N27 S04 G S32
N07 S19 G N28 S13,N07 S19 G N28 S13 G S30
N07 S19 G N29 S04,N07 S19 G N29 S04 G S34
N07 S19 G N30 S04,N07 S19 G N30 S04 G S34
N07 S19 G N31 S04,N07 S19 G N31 S04 G S34
N07 S19 G N32 S17,N07 S19 G N32 S17 G S39
N07 S19 G N33 S39,N07 S19 G N33 S39 G N11
N07 S19 G N34 N32,N07 S19 G N34 N32 G S25
N07 S19 G N35 S29,N07 S19 G N35 S29 G S09
N07 S19 G N36 N15,N07 S19 G N36 N15 G S25
N07 S19 G N37 N15,N07 S19 G N37 N15 G S26
N07 S19 G N38 S29,N07 S19 G N38 S29 G S08
N07 S19 G N39 S13,N07 S19 G N39 S13 G S34
N07 S19 G N40 S31,N07 S19 G N40 S31 G S01
N07 S19 G S01 N15,N07 S19 G S01 N15 G S30
N07 S19 G S02 S27,N07 S19 G S02 S27 G N31
N07 S19 G S03 S28,N07 S19 G S03 S28 G N11
N07 S19 G S04 N15,N07 S19 G S04 N15 G S30
N07 S19 G S05 N14,N07 S19 G S05 N14 G S24
N07 S19 G S06 N15,N07 S19 G S06 N15 G S32
N07 S19 G S07 N17,N07 S19 G S07 N17 G S34
N07 S19 G S08 S25,N07 S19 G S08 S25 G N31
N07 S19 G S09 S37,N07 S19 G S09 S37 G N17
N07 S19 G S10 S37,N07 S19 G S10 S37 G S40
N07 S19 G S11 S37,N07 S19 G S11 S37 G S04
N07 S19 G S12 S39,N07 S19 G S12 S39 G S17
N07 S19 G S13 S39,N07 S19 G S13 S39 G N26
N07 S19 G S14 S39,N07 S19 G S14 S39 G N11
N07 S19 G S15 S39,N07 S19 G S15 S39 G N26
N07 S19 G S16 N15,N07 S19 G S16 N15 G S22
N07 S19 G S17 N15,N07 S19 G S17 N15 G S24
N07 S19 G S18 S28,N07 S19 G S18 S28 G S25
N07 S19 G S19+ S28,N07 S19 G S19+ S28 G N13
N07 S19 G S20 S29,N07 S19 G S20 S29 G S10
N07 S19 G S21 N33,N07 S19 G S21 N33 G S29
N07 S19 G S22 S17,N07 S19 G S22 S17 G S03
N07 S19 G S23 S17,N07 S19 G S23 S17 G N36
N07 S19 G S24 S17,N07 S19 G S24 S17 G S39
N07 S19 G S25 S37,N07 S19 G S25 S37 G N17
N07 S19 G S26 S11,N07 S19 G S26 S11 G S22
N07 S19 G S27 S04,N07 S19 G S27 S04 G S32
N07 S19 G S28 S04,N07 S19 G S28 S04 G S32
N07 S19 G S29 S04,N07 S19 G S29 S04 G S34
N07 S19 G S30 N37,N07 S19 G S30 N37 G S24
N07 S19 G S31 S28,N07 S19 G S31 S28 G S22
N07 S19 G S32 S28,N07 S19 G S32 S28 G S17
N07 S19 G S33 N30,N07 S19 G S33 N30 G S24
N07 S19 G S34 N30,N07 S19 G S34 N30 G S25
N07 S19 G S35 N14,N07 S19 G S35 N14 G S22
N07 S19 G S36 N14,N07 S19 G S36 N14 G S25
N07 S19 G S37 S28,N07 S19 G S37 S28 G S09
N07 S19 G S38 S28,N07 S19 G S38 S28 G N13
N07 S19 G S39 S29,N07 S19 G S39 S29 G N11
N07 S19 G S40 S13,N07 S19 G S40 S13 G S34
N07 S20 G N01 S28,N07 S20 G N01 S28 G N10
N07 S20 G N02 N17,N07 S20 G N02 N17 G S07
N07 S20 G N03 S05,N07 S20 G N03 S05 G S36
N07 S20 G N04 N37,N07 S20 G N04 N37 G S05
N07 S20 G N05 N12,N07 S20 G N05 N12 G N32
N07 S20 G N06 N37,N07 S20 G N06 N37 G S34
N07 S20 G N08 S29,N07 S20 G N08 S29 G S05
N07 S20 G N09 S07,N07 S20 G N09 S07 G N33
N07 S20 G N10 S05,N07 S20 G N10 S05 G S33
N07 S20 G N11 S02,N07 S20 G N11 S02 G S31
N07 S20 G N12 S05,N07 S20 G N12 S05 G S33
N07 S20 G N13 S05,N07 S20 G N13 S05 G S35
N07 S20 G N14 S05,N07 S20 G N14 S05 G S36
N07 S20 G N15 N17,N07 S20 G N15 N17 G S34
N07 S20 G N16 N37,N07 S20 G N16 N37 G S05
N07 S20 G N17 N14,N07 S20 G N17 N14 G S23
N07 S20 G N18 N14,N07 S20 G N18 N14 G S23
N07 S20 G N19 N14,N07 S20 G N19 N14 G S23
N07 S20 G N20 S31,N07 S20 G N20 S31 G S02
N07 S20 G N21 S34,N07 S20 G N21 S34 G S05
N07 S20 G N22 S18,N07 S20 G N22 S18 G S31
N07 S20 G N23 S28,N07 S20 G N23 S28 G N25
N07 S20 G N24 S31,N07 S20 G N24 S31 G S02
N07 S20 G N25 S24,N07 S20 G N25 S24 G N16
N07 S20 G N26 S25,N07 S20 G N26 S25 G N18
N07 S20 G N27 S11,N07 S20 G N27 S11 G N38
N07 S20 G N28 S11,N07 S20 G N28 S11 G N38
N07 S20 G N29 S13,N07 S20 G N29 S13 G N36
N07 S20 G N30 S13,N07 S20 G N30 S13 G S32
N07 S20 G N31 S16,N07 S20 G N31 S16 G N37
N07 S20 G N32 N17,N07 S20 G N32 N17 G S34
N07 S20 G N33 S18,N07 S20 G N33 S18 G N38
N07 S20 G N34 S18,N07 S20 G N34 S18 G S28
N07 S20 G N35 N32,N07 S20 G N35 N32 G N16
N07 S20 G N36 S29,N07 S20 G N36 S29 G S25
N07 S20 G N37 N15,N07 S20 G N37 N15 G S24
N07 S20 G N38 N15,N07 S20 G N38 N15 G S32
N07 S20 G N39 S31,N07 S20 G N39 S31 G S02
N07 S20 G N40 S31,N07 S20 G N40 S31 G S02
N07 S20 G S01 S28,N07 S20 G S01 S28 G N11
N07 S20 G S02 S28,N07 S20 G S02 S28 G N11
N07 S20 G S03 S29,N07 S20 G S03 S29 G N13
N07 S20 G S04 N14,N07 S20 G S04 N14 G S30
N07 S20 G S05 S28,N07 S20 G S05 S28 G S24
N07 S20 G S06 S28,N07 S20 G S06 S28 G S24
N07 S20 G S07 S28,N07 S20 G S07 S28 G N11
N07 S20 G S08 S28,N07 S20 G S08 S28 G N26
N07 S20 G S09 S36,N07 S20 G S09 S36 G S28
N07 S20 G S10 S38,N07 S20 G S10 S38 G N32
N07 S20 G S11 S05,N07 S20 G S11 S05 G S33
N07 S20 G S12 S05,N07 S20 G S12 S05 G S35
N07 S20 G S13 S05,N07 S20 G S13 S05 G S36
N07 S20 G S14 S28,N07 S20 G S14 S28 G S05
N07 S20 G S15 N32,N07 S20 G S15 N32 G S38
N07 S20 G S16 N14,N07 S20 G S16 N14 G S32
N07 S20 G S17 N15,N07 S20 G S17 N15 G S23
N07 S20 G S18 S29,N07 S20 G S18 S29 G S10
N07 S20 G S19 S28,N07 S20 G S19 S28 G S24
N07 S20 G S20+ S18,N07 S20 G S20+ S18 G S12
N07 S20 G S21 S29,N07 S20 G S21 S29 G S10
N07 S20 G S22 S35,N07 S20 G S22 S35 G S05
N07 S20 G S23 S18,N07 S20 G S23 S18 G S27
N07 S20 G S24 S36,N07 S20 G S24 S36 G N18
N07 S20 G S25 S36,N07 S20 G S25 S36 G N38
N07 S20 G S26 S07,N07 S20 G S26 S07 G S14
N07 S20 G S27 S38,N07 S20 G S27 S38 G S21
N07 S20 G S28 S14,N07 S20 G S28 S14 G S09
N07 S20 G S29 S05,N07 S20 G S29 S05 G S33
N07 S20 G S30 S31,N07 S20 G S30 S31 G S02
N07 S20 G S31 S28,N07 S20 G S31 S28 G S05
N07 S20 G S32 S28,N07 S20 G S32 S28 G S18
N07 S20 G S33 S30,N07 S20 G S33 S30 G S18
N07 S20 G S34 S31,N07 S20 G S34 S31 G S05
N07 S20 G S35 N32,N07 S20 G S35 N32 G S26
N07 S20 G S36 S24,N07 S20 G S36 S24 G N16
N07 S20 G S37 S28,N07 S20 G S37 S28 G S24
N07 S20 G S38 N15,N07 S20 G S38 N15 G S25
N07 S20 G S39 S29,N07 S20 G S39 S29 G S09
N07 S20 G S40 S29,N07 S20 G S40 S29 G N13
N07 S21 G N01 S28,N07 S21 G N01 S28 G N10
N07 S21 G N02 S07,N07 S21 G N02 S07 G S17
N07 S21 G N03 S05,N07 S21 G N03 S05 G S34
N07 S21 G N04 N37,N07 S21 G N04 N37 G S10
N07 S21 G N05 N37,N07 S21 G N05 N37 G N14
N07 S21 G N06 S35,N07 S21 G N06 S35 G S03
N07 S21 G N08 S29,N07 S21 G N08 S29 G N13
N07 S21 G N09 S33,N07 S21 G N09 S33 G S05
N07 S21 G N10 S09,N07 S21 G N10 S09 G N14
N07 S21 G N11 S09,N07 S21 G N11 S09 G N17
N07 S21 G N12 S03,N07 S21 G N12 S03 G S32
N07 S21 G N13 S03,N07 S21 G N13 S03 G S30
N07 S21 G N14 S03,N07 S21 G N14 S03 G S30
N07 S21 G N15 S18,N07 S21 G N15 S18 G S34
N07 S21 G N16 N37,N07 S21 G N16 N37 G N26
N07 S21 G N17 N38,N07 S21 G N17 N38 G N32
N07 S21 G N18 S29,N07 S21 G N18 S29 G N34
N07 S21 G N19 S29,N07 S21 G N19 S29 G N34
N07 S21 G N20 N16,N07 S21 G N20 N16 G S23
N07 S21 G N21 N37,N07 S21 G N21 N37 G S09
N07 S21 G N22 S28,N07 S21 G N22 S28 G S04
N07 S21 G N23 N27,N07 S21 G N23 N27 G S18
N07 S21 G N24 S31,N07 S21 G N24 S31 G S23
N07 S21 G N25 S23,N07 S21 G N25 S23 G N14
N07 S21 G N26 S23,N07 S21 G N26 S23 G N14
N07 S21 G N27 S23,N07 S21 G N27 S23 G N14
N07 S21 G N28 S26,N07 S21 G N28 S26 G S14
N07 S21 G N29 S11,N07 S21 G N29 S11 G N38
N07 S21 G N30 S28,N07 S21 G N30 S28 G S03
N07 S21 G N31 S35,N07 S21 G N31 S35 G S05
N07 S21 G N32 S35,N07 S21 G N32 S35 G S05
N07 S21 G N33 S35,N07 S21 G N33 S35 G S05
N07 S21 G N34 S36,N07 S21 G N34 S36 G N18
N07 S21 G N35 N38,N07 S21 G N35 N38 G S18
N07 S21 G N36 S29,N07 S21 G N36 S29 G N34
N07 S21 G N37 S29,N07 S21 G N37 S29 G S23
N07 S21 G N38 N37,N07 S21 G N38 N37 G S09
N07 S21 G N39 N37,N07 S21 G N39 N37 G S09
N07 S21 G N40 S33,N07 S21 G N40 S33 G S03
N07 S21 G S01 N14,N07 S21 G S01 N14 G S30
N07 S21 G S02 N14,N07 S21 G S02 N14 G S29
N07 S21 G S03 N14,N07 S21 G S03 N14 G S30
N07 S21 G S04 N14,N07 S21 G S04 N14 G S32
N07 S21 G S05 N14,N07 S21 G S05 N14 G S32
N07 S21 G S06 S29,N07 S21 G S06 S29 G S04
N07 S21 G S07 S28,N07 S21 G S07 S28 G S02
N07 S21 G S08 S28,N07 S21 G S08 S28 G N26
N07 S21 G S09 S29,N07 S21 G S09 S29 G N11
N07 S21 G S10 S29,N07 S21 G S10 S29 G N11
N07 S21 G S11 S23,N07 S21 G S11 S23 G N17
N07 S21 G S12 S07,N07 S21 G S12 S07 G N36
N07 S21 G S13 S05,N07 S21 G S13 S05 G S36
N07 S21 G S14 S28,N07 S21 G S14 S28 G S03
N07 S21 G S15 S36,N07 S21 G S15 S36 G S04
N07 S21 G S16 N32,N07 S21 G S16 N32 G S29
N07 S21 G S17 N32,N07 S21 G S17 N32 G S29
N07 S21 G S18 N32,N07 S21 G S18 N32 G S26
N07 S21 G S19 N32,N07 S21 G S19 N32 G S26
N07 S21 G S20 S29,N07 S21 G S20 S29 G S09
N07 S21 G S21+ S29,N07 S21 G S21+ S29 G S10
N07 S21 G S22 S29,N07 S21 G S22 S29 G S03
N07 S21 G S23 S29,N07 S21 G S23 S29 G N11
N07 S21 G S24 S36,N07 S21 G S24 S36 G N38
N07 S21 G S25 S28,N07 S21 G S25 S28 G N26
N07 S21 G S26 S28,N07 S21 G S26 S28 G S36
N07 S21 G S27 S23,N07 S21 G S27 S23 G N15
N07 S21 G S28 S23,N07 S21 G S28 S23 G N16
N07 S21 G S29 S28,N07 S21 G S29 S28 G S02
N07 S21 G S30 S16,N07 S21 G S30 S16 G N24
N07 S21 G S31 S35,N07 S21 G S31 S35 G S03
N07 S21 G S32 S36,N07 S21 G S32 S36 G S04
N07 S21 G S33 S36,N07 S21 G S33 S36 G S05
N07 S21 G S34 S33,N07 S21 G S34 S33 G S23
N07 S21 G S35 S33,N07 S21 G S35 S33 G N16
N07 S21 G S36 S23,N07 S21 G S36 S23 G N15
N07 S21 G S37 S23,N07 S21 G S37 S23 G N15
N07 S21 G S38 S26,N07 S21 G S38 S26 G N16
N07 S21 G S39 S28,N07 S21 G S39 S28 G S10
N07 S21 G S40 S28,N07 S21 G S40 S28 G S10
N07 S22 G N01 S11,N07 S22 G N01 S11 G N33
N07 S22 G N02 S08,N07 S22 G N02 S08 G N37
N07 S22 G N03 S10,N07 S22 G N03 S10 G S30
N07 S22 G N04 S03,N07 S22 G N04 S03 G S32
N07 S22 G N05 S06,N07 S22 G N05 S06 G N27
N07 S22 G N06 S33,N07 S22 G N06 S33 G N13
N07 S22 G N08 S29,N07 S22 G N08 S29 G S04
N07 S22 G N09 N11,N07 S22 G N09 N11 G S06
N07 S22 G N10 S35,N07 S22 G N10 S35 G N31
N07 S22 G N11 S35,N07 S22 G N11 S35 G N31
N07 S22 G N12 S26,N07 S22 G N12 S26 G S03
N07 S22 G N13 S36,N07 S22 G N13 S36 G S05
N07 S22 G N14 S13,N07 S22 G N14 S13 G N40
N07 S22 G N15 S18,N07 S22 G N15 S18 G N26
N07 S22 G N16 S04,N07 S22 G N16 S04 G S32
N07 S22 G N17 S40,N07 S22 G N17 S40 G N11
N07 S22 G N18 S29,N07 S22 G N18 S29 G S06
N07 S22 G N19 S29,N07 S22 G N19 S29 G N33
N07 S22 G N20 N18,N07 S22 G N20 N18 G S08
N07 S22 G N21 N37,N07 S22 G N21 N37 G S10
N07 S22 G N22 S36,N07 S22 G N22 S36 G S05
N07 S22 G N23 N28,N07 S22 G N23 N28 G S06
N07 S22 G N24 N27,N07 S22 G N24 N27 G S18
N07 S22 G N25 N27,N07 S22 G N25 N27 G S19
N07 S22 G N26 S33,N07 S22 G N26 S33 G S04
N07 S22 G N27 S24,N07 S22 G N27 S24 G N16
N07 S22 G N28 S24,N07 S22 G N28 S24 G N16
N07 S22 G N29 S26,N07 S22 G N29 S26 G N18
N07 S22 G N30 S35,N07 S22 G N30 S35 G N18
N07 S22 G N31 S35,N07 S22 G N31 S35 G S03
N07 S22 G N32 S29,N07 S22 G N32 S29 G S04
N07 S22 G N33 S36,N07 S22 G N33 S36 G S05
N07 S22 G N34 S35,N07 S22 G N34 S35 G S04
N07 S22 G N35 S40,N07 S22 G N35 S40 G N13
N07 S22 G N36 S40,N07 S22 G N36 S40 G N13
N07 S22 G N37 S40,N07 S22 G N37 S40 G N33
N07 S22 G N38 S31,N07 S22 G N38 S31 G S03
N07 S22 G N39 N37,N07 S22 G N39 N37 G S08
N07 S22 G N40 N37,N07 S22 G N40 N37 G S10
N07 S22 G S01 S03,N07 S22 G S01 S03 G S17
N07 S22 G S02 N31,N07 S22 G S02 N31 G S33
N07 S22 G S03 N31,N07 S22 G S03 N31 G S24
N07 S22 G S04 N33,N07 S22 G S04 N33 G S40
N07 S22 G S05 N33,N07 S22 G S05 N33 G S14
N07 S22 G S06 S29,N07 S22 G S06 S29 G S04
N07 S22 G S07 S35,N07 S22 G S07 S35 G S02
N07 S22 G S08 S35,N07 S22 G S08 S35 G S03
N07 S22 G S09 S29,N07 S22 G S09 S29 G S02
N07 S22 G S10 N31,N07 S22 G S10 N31 G S38
N07 S22 G S11 N31,N07 S22 G S11 N31 G S24
N07 S22 G S12 S24,N07 S22 G S12 S24 G N18
N07 S22 G S13 N31,N07 S22 G S13 N31 G S24
N07 S22 G S14 S28,N07 S22 G S14 S28 G S03
N07 S22 G S15 S36,N07 S22 G S15 S36 G S19
N07 S22 G S16 N33,N07 S22 G S16 N33 G S33
N07 S22 G S17 S40,N07 S22 G S17 S40 G N11
N07 S22 G S18 N33,N07 S22 G S18 N33 G S40
N07 S22 G S19 N33,N07 S22 G S19 N33 G S25
N07 S22 G S20 S35,N07 S22 G S20 S35 G S05
N07 S22 G S21 S29,N07 S22 G S21 S29 G S03
N07 S22 G S22+ S35,N07 S22 G S22+ S35 G S04
N07 S22 G S23 S29,N07 S22 G S23 S29 G N26
N07 S22 G S24 S36,N07 S22 G S24 S36 G N38
N07 S22 G S25 S29,N07 S22 G S25 S29 G N26
N07 S22 G S26 S40,N07 S22 G S26 S40 G N13
N07 S22 G S27 S40,N07 S22 G S27 S40 G N33
N07 S22 G S28 S24,N07 S22 G S28 S24 G N16
N07 S22 G S29 S24,N07 S22 G S29 S24 G N17
N07 S22 G S30 S26,N07 S22 G S30 S26 G N18
N07 S22 G S31 S28,N07 S22 G S31 S28 G S04
N07 S22 G S32 S36,N07 S22 G S32 S36 G S03
N07 S22 G S33 S29,N07 S22 G S33 S29 G S04
N07 S22 G S34 S38,N07 S22 G S34 S38 G N11
N07 S22 G S35 S36,N07 S22 G S35 S36 G S05
N07 S22 G S36 S33,N07 S22 G S36 S33 G S04
N07 S22 G S37 S24,N07 S22 G S37 S24 G N31
N07 S22 G S38 S24,N07 S22 G S38 S24 G N16
N07 S22 G S39 S35,N07 S22 G S39 S35 G N38
N07 S22 G S40 S28,N07 S22 G S40 S28 G N26
N07 S23 G N01 S36,N07 S23 G N01 S36 G S20
N07 S23 G N02 S35,N07 S23 G N02 S35 G N04
N07 S23 G N03 N27,N07 S23 G N03 N27 G S20
N07 S23 G N04 N27,N07 S23 G N04 N27 G S19
N07 S23 G N05 S07,N07 S23 G N05 S07 G S12
N07 S23 G N06 S18,N07 S23 G N06 S18 G N32
N07 S23 G N08 S31,N07 S23 G N08 S31 G N13
N07 S23 G N09 N12,N07 S23 G N09 N12 G S18
N07 S23 G N10 S35,N07 S23 G N10 S35 G N32
N07 S23 G N11 S35,N07 S23 G N11 S35 G N30
N07 S23 G N12 N26,N07 S23 G N12 N26 G N32
N07 S23 G N13 N27,N07 S23 G N13 N27 G S21
N07 S23 G N14 S11,N07 S23 G N14 S11 G S05
N07 S23 G N15 S03,N07 S23 G N15 S03 G S30
N07 S23 G N16 S04,N07 S23 G N16 S04 G S34
N07 S23 G N17 S19,N07 S23 G N17 S19 G S34
N07 S23 G N18 S21,N07 S23 G N18 S21 G N13
N07 S23 G N19 S19,N07 S23 G N19 S19 G N34
N07 S23 G N20 S31,N07 S23 G N20 S31 G S02
N07 S23 G N21 N37,N07 S23 G N21 N37 G S11
N07 S23 G N22 S36,N07 S23 G N22 S36 G S04
N07 S23 G N23 N27,N07 S23 G N23 N27 G S20
N07 S23 G N24 N27,N07 S23 G N24 N27 G S19
N07 S23 G N25 N27,N07 S23 G N25 N27 G S20
N07 S23 G N26 N27,N07 S23 G N26 N27 G S20
N07 S23 G N27 S35,N07 S23 G N27 S35 G S21
N07 S23 G N28 S35,N07 S23 G N28 S35 G S21
N07 S23 G N29 N27,N07 S23 G N29 N27 G S12
N07 S23 G N30 S11,N07 S23 G N30 S11 G N34
N07 S23 G N31 S29,N07 S23 G N31 S29 G S02
N07 S23 G N32 S29,N07 S23 G N32 S29 G S02
N07 S23 G N33 S29,N07 S23 G N33 S29 G S04
N07 S23 G N34 S35,N07 S23 G N34 S35 G S03
N07 S23 G N35 S18,N07 S23 G N35 S18 G S31
N07 S23 G N36 S39,N07 S23 G N36 S39 G N11
N07 S23 G N37 S21,N07 S23 G N37 S21 G N15
N07 S23 G N38 S21,N07 S23 G N38 S21 G N15
N07 S23 G N39 S21,N07 S23 G N39 S21 G N15
N07 S23 G N40 S33,N07 S23 G N40 S33 G S21
N07 S23 G S01 N15,N07 S23 G S01 N15 G S34
N07 S23 G S02 N14,N07 S23 G S02 N14 G S32
N07 S23 G S03 N15,N07 S23 G S03 N15 G S32
N07 S23 G S04 N15,N07 S23 G S04 N15 G S34
N07 S23 G S05 S35,N07 S23 G S05 S35 G N15
N07 S23 G S06 S36,N07 S23 G S06 S36 G N38
N07 S23 G S07 S35,N07 S23 G S07 S35 G S05
N07 S23 G S08 S36,N07 S23 G S08 S36 G S03
N07 S23 G S09 S35,N07 S23 G S09 S35 G N38
N07 S23 G S10 S33,N07 S23 G S10 S33 G N13
N07 S23 G S11 N14,N07 S23 G S11 N14 G S21
N07 S23 G S12 N32,N07 S23 G S12 N32 G S39
N07 S23 G S13 N15,N07 S23 G S13 N15 G S21
N07 S23 G S14 S28,N07 S23 G S14 S28 G S03
N07 S23 G S15 S29,N07 S23 G S15 S29 G S04
N07 S23 G S16 S04,N07 S23 G S16 S04 G S29
N07 S23 G S17 S36,N07 S23 G S17 S36 G S19
N07 S23 G S18 S21,N07 S23 G S18 S21 G N15
N07 S23 G S19 N34,N07 S23 G S19 N34 G S11
N07 S23 G S20 S36,N07 S23 G S20 S36 G N18
N07 S23 G S21 S35,N07 S23 G S21 S35 G N38
N07 S23 G S22 S35,N07 S23 G S22 S35 G S03
